OS,Python_Version,Pandas_Version,Numpy_Version,Scikit-learn_Version,#Features,Model,#Train_Examples,#Test_Examples,Score
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '5', 'lin_reg', '1000', 703, -0.45599796291774
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '5', 'lin_reg', '1000', 703, -0.4559979629177455
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '5', 'lin_reg', '1000', 703, -0.45599796291774286
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '5', 'lin_reg', '1200', 503, -0.5361611207763564
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '5', 'lin_reg', '1200', 503, -0.536161120776351
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '5', 'lin_reg', '1200', 503, -0.5361611207763455
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '10', 'lin_reg', '1000', 703, 0.4723356181642133
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '10', 'lin_reg', '1000', 703, 0.47233561816421366
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '10', 'lin_reg', '1000', 703, 0.4723356181642142
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '10', 'nn', '1000', 703, 0.12608891929201482
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '10', 'nn', '1000', 703, 0.12608891929201482
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '10', 'nn', '1000', 703, 0.12608891929201493
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '10', 'nn', '1200', 503, 0.22966871424109914
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '10', 'nn', '1200', 503, 0.22966871424109903
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '10', 'nn', '1200', 503, 0.22966871424109903
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '5', 'rf', '1000', 703, 0.23624491236136558
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '5', 'rf', '1000', 703, 0.23624491236136558
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '5', 'rf', '1000', 703, 0.23624491236136558
'Linux', '3.7.13', '1.3.5', '1.21.6', '1.0.2', '15', 'svm', '1000', 703, -3916519.7646918357
'Darwin', '3.7.7', '1.3.5', '1.21.6', '1.0.2', '15', 'svm', '1000', 703, -3916519.7646918357
'Windows', '3.8.0', '1.5.3', '1.24.2', '1.2.1', '15', 'svm', '1000', 703, -3916519.7646918357
